SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,00:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,01:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,02:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,03:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,04:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,05:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,PRODUCTION TIME,0:0:0,,,,PRODUCTION TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,DOWN TIME,0:0:0,,,,DOWN TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,06:59:59,,OPERATOR,,,,IDLE TIME,0:0:0,,,,IDLE TIME:0:0:0
NSTD,KK13,L02-ER-47-1,24/02/2020,07:59:59,,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,07:59:59,,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,07:59:59,,OPERATOR,,,,FAIL,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
NSTD,KK13,L02-ER-47-1,24/02/2020,07:59:59,,OPERATOR,,,,RATE,0.00%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.00%
