SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:01,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:01,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:01,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:01,123456,OPERATOR,,,,PRODUCTION TIME LOT,66:17:53,,,,PRODUCTION TIME LOT:66:17:53,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:01,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:02,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:02,123456,OPERATOR,,,,PRODUCTION TIME,02:12:03,,,,PRODUCTION TIME:02:12:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:02,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:02,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,01:00:02,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,69:05:52,,,,PRODUCTION TIME LOT:69:05:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:00,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:01,123456,OPERATOR,,,,PRODUCTION TIME,05:00:02,,,,PRODUCTION TIME:05:00:02,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,02:00:01,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,71:17:52,,,,PRODUCTION TIME LOT:71:17:52,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:01,123456,OPERATOR,,,,DOWN TIME LOT,55:06:56,,,,DOWN TIME LOT:55:06:56,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:01,123456,OPERATOR,,,,IDLE TIME LOT,77:09:03,,,,IDLE TIME LOT:77:09:03,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:01,123456,OPERATOR,,,,PRODUCTION TIME,07:12:02,,,,PRODUCTION TIME:07:12:02,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:01,123456,OPERATOR,,,,DOWN TIME,00:00:00,,,,DOWN TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:01,123456,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00,
NSTD,KK13,L02ER-16_07LE,25/02/20,03:00:01,123456,OPERATOR,,,,,,,,,,
NSTD,KK13,L02ER-16_07LE,25/02/20,04:00:00,123456,OPERATOR,,,,INPUT,94,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,04:00:00,123456,OPERATOR,,,,FAIL,92,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,04:00:00,123456,OPERATOR,,,,RATE,74%,,,,:69-FAIL:92-RATE:74%,
NSTD,KK13,L02ER-16_07LE,25/02/20,04:00:00,123456,OPERATOR,,,,PRODUCTION TIME LOT,74:05:52,,,,PRODUCTION TIME LOT:74:05:52,
